Title,Author,Description,Theme,Genre
The Terminal Man,Michael Crichton,"Hearry Benson suffers from violent seizures. When he becomes part of an experimental program that sends electrodes to his brain to calm him, he is in recovery. Until he discovers how to get those soothing pulses more frequently, and then escapes the hopsital--on a murderous rampage with a deadly agenda.... From the Paperback edition.",Psychological Thriller,Action & Psychological Thrillers
The Chamber,John Grisham,"While the executioners prepare the gas chamber, while the protesters gather and the TV cameras wait. Adam has only days, hours, minutes to save his client.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
The Girl Who Loved Tom Gordon : A Novel,Stephen King,A story of a nine year old who wanders off in a wilderness area and hew spirit to survive.,Spiritual & Mindfulness,Spiritual & Mindfulness
In the Dark,Richard Laymon,"A tale of suspense follows young librarian Jane Kerry, who discovers an envelope containing money and instructions signed by the Master of Games, as she is hurled into a dark world where she must play a deadly and disturbing game in order to survive.",Gothic Vampire Fiction,Fantasy Literature
Tailchaser's Song,Tad Williams,"Fritti Tailchaser, a ginger tomcat of courage and curiosity, becomes alarmed as cats begin vanishing mysteriously. When his catfriend Hushpad disappears, he sets out on a magical quest to rescue her.",Cozy Mysteries,Action & Psychological Thrillers
"Stone of Farewell (Memory, Sorrow, and Thorn, Book 2)",Tad Williams,"Battered remnants of the human army flee the evil forces of Ineluki the Storm King, desperately seeking a mysterious sanctuary called the Stone of Farewell and a solution to their dire peril",Apocalyptic Fiction,Science Fiction
"The Dragon Token (Dragon Star, Book 2)",Melanie Rawn,"The second book in the Dragon Star trilogy returns to the spellbinding fantasy world introduced in the bestselling Dragon Prince trilogy With her bestselling fantasy trilogy, Dragon Prince, Melanie Rawn introduced us to Sunrunner’s magic and sorcerous evil, to a ruler striving to bring peace to warring kingdoms—and to her magnificent dragons. In Stronghold, the peace won by High Prince Rohan is shattered when a mysterious invasion force begins a devastating campaign against the people of the Desert. Now, in The Dragon Token, the time for retreat has come to an end as Rohan’s son and heir, Pol, rallies his forces in a desperate bid to halt the advance of the invaders. But ancient rivalries begin to weaken his alliance and only time will tell whether those loyal to the High Prince can defeat both the foreign invaders and the betrayers in their own ranks. And even as Pol leads his troops forth, Andry, the Sunrunner Lord of Goddess Keep, is also determined to take the attack to this enemy force which has sworn to slay all workers of magic. Yet the invaders have their own agenda of conquest, and they are even now readying to strike at the very heart of the Desert, stealing treasures which Pol and Andry would pay any price to reclaim—even if the price should prove to be their own lives....",Gothic Vampire Fiction,Fantasy Literature
Roses Are Red (Alex Cross Novels),James Patterson,"Alex Cross is a crime, mystery, and thriller novel series written by James Patterson. The protagonist of the series is Alex Cross, an African-American Metropolitan Police Department detective and father who counters threats to his family and to the city of Washington, D.C. Supporting characters include two of Cross's children, Damon and Janelle, as well as his grandmother Nana Mama. The series is usually narrated in first-person perspective by Alex Cross, and occasionally from the villains' point of view in third-person.
The series began in 1993 and is ongoing. Nearly all the stories have made bestsellers lists and garnered favorable reviews, especially Double Cross; Cross Fire; I, Alex Cross; and Alex Cross, Run.
The series is published worldwide, with Little, Brown currently holding publication rights in the United States, in paperback, hardcover, and audiobook editions. The first book in the series, Along Came a Spider, was released in 1993 to positive reviews, spawning a series of over twenty subsequent novels. The series has resulted in three movies, Kiss the Girls (1997), Along Came a Spider (2001), and Alex Cross (2012).

",Gothic Vampire Fiction,Fantasy Literature
Violets Are Blue,James Patterson,"Detective Alex Cross must confront his most terrifying nemesis ever- and his own deepest fears- in this electrifying thriller from the world's #1 bestselling writer. D.C. Detective Alex Cross has seen a lot of crime scenes. But even he is appalled by the gruesome murders of two joggers in San Francisco's Golden Gate Park-killings that look more like the work of savage beasts than humans. Local police are horrified and even the FBI is baffled. Then, as Cross is called in to take on the case, the carnage takes off, leaving a trail of bodies across America and sweeping him to Savannah, Las Vegas, New Orleans, Los Angeles as his nemesis, the merciless criminal known as the Mastermind, stalks him, taunts him, and once again, threatens everything he holds dear...",Espionage Thriller,Action & Psychological Thrillers
The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,"To know the Sweet Potato Queens is to love them, and if you haven't heard about them yet, you will. Since the early 1980s, this group of belles gone bad has been the toast of Jackson, Mississippi, with their glorious annual appearance in the St. Patrick's Day parade. In The Sweet Potato Queens' Book of Love, their royal ringleader, Jill Conner Browne, introduces the Queens to the world with this sly, hilarious manifesto about love, life, men, and the importance of being prepared. Chapters include: • The True Magic Words Guaranteed to Get Any Man to Do Your Bidding • The Five Men You Must Have in Your Life at All Times • Men Who May Need Killing, Quite Frankly • What to Eat When Tragedy Strikes, or Just for Entertainment • The Best Advice Ever Given in the Entire History of the World From tales of the infamous Sweet Potato Queens' Promise to the joys of Chocolate Stuff and Fat Mama's Knock You Naked Margaritas, this irreverent, shamelessly funny book is the gen-u-wine article.",Relationships and Family Dynamics,Romance & Relationships
Dreamcatcher,Stephen King,"Once upon a time, in the haunted city of Derry, four boys stood together and did a brave thing. It was something that changed them in ways they could never begin to understand. Twenty-five years after saving a Down's-syndrome kid from bullies, Beav, Henry, Pete, and Jonesy -- now men with separate lives and separate problems -- reunite in the woods of Maine for their annual hunting trip. But when a stranger stumbles into their camp, disoriented and mumbling something about lights in the sky, chaos erupts. Soon, the four friends are plunged into a horrifying struggle with a creature from another world where their only chance of survival is locked in their shared past -- and in the Dreamcatcher. Never before has Stephen King contended so frankly with the heart of darkness. Dreamcatcher, his first full-length novel since Bag of Bones, is a powerful story of astonishing range that will satisfy fans both new and old.",Psychological Thriller,Action & Psychological Thrillers
Wild Animus,Rich Shapero,"Wild animus is a search for the primordial, a test of human foundations and a journey to the breaking point.",Space Adventure,Science Fiction
The Tin Collectors : A Novel (A Shane Scully Novel),Stephen J. Cannell,Shane Scully is a fictional character who has appeared in eleven detective stories by novelist and television producer Stephen J. Cannell.,Crime Thrillers and Detective Drama,Crime & Detective Fiction
City of Bones,Michael Connelly,"Confronted by his own tragic past when the bones of a twelve-year-old boy are found in the Hollywood Hills, Harry Bosch attempts to unearth the boy's identity, which leads to startling discoveries and the possible destruction of his career.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Balance of Power,RICHARD NORTH PATTERSON,"The #1 ""New York Times"" bestselling author confronts one of America's most emotional and divisive issues--gun violence--in this novel of politics, law, and power.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
A Cold Heart: An Alex Delaware Novel,JONATHAN KELLERMAN,A trendy art gallery in LA holds the murdered body of a promising young artist and the evidence indicates the possibility it's the work of a serial killer.,Crime Thrillers and Detective Drama,Crime & Detective Fiction
The Devil's Code,John Sandford,"Ex-soldier Kidd and his sometimes lover, LuEllen, are on the run when a colleague disappears and Kidd suddenly finds himself the subject of a national manhunt.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Potshot,Robert B. Parker,"Boston private detective Spenser and his cohorts head west to Potshot, Arizona, a haven for California millionaires seeking an escape from their high-pressure lives, when the idyllic retreat is threatened by a vicious local gang. .",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Mortal Prey,John Sandford,"Nearly killed in a hit attempt, retired top hitwoman Clara Rinker goes into hiding, prompting Lucas Davenport, a one-time target of Clara's, to assist the FBI and DEA in tracking her down before her old bosses in the St. Louis mob get to her first.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Fire Ice: A Novel from the NUMA Files,Clive Cussler,A Kurt Austin adventure.,Galactic Adventures,Science Fiction
Bad Business,Robert B. Parker,"Spenser #31 finds the veteran Boston PI tackling corporate crime in a routine yet absorbing outing. He's hired by one Marlene Rowley to prove that her husband Trent, CFO of energy firm Kinergy, is cheating on her.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
A Little Magic,Nora Roberts,"#1 New York Times bestselling author Nora Roberts presents three of her favorite Irish stories—together in one volume for the first time. SPELLBOUND A bewitchingly beautiful lady casts a thousand-year love spell on the man of her dreams—and unleashes a nightmare that only true love can conquer... EVER AFTER An ancient star pendant sends an enchanting woman to an otherwordly land—where she introduces a skeptical stranger to the magical powers of love... IN DREAMS A beautiful young woman is drawn to a castle in the forests of Ireland and becomes the link to a stranger’s past—and the curse that has trapped him forever in the eternity of his own dreams... ""Spellbound"" previously appeared in Once Upon a Castle ""Ever After"" previously appeared in Once Upon a Star ""In Dreams"" previously appeared in Once Upon a Dream",Gothic Vampire Fiction,Fantasy Literature
The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,"NYPD criminalist Lincoln Rhyme joins his beautiful protégé, Amelia Sachs, in the hunt for the Coffin Dancer -- an ingenious killer who changes appearance even faster than he adds to his trail of victims. They have only one clue: the madman has a tattoo of the Grim Reaper waltzing with a woman. Rhyme must rely on his wits and intuition to track the elusive murderer through New York City -- knowing they have only forty-eight hours before the Coffin Dancer strikes again.",Murder Mystery,Crime & Detective Fiction
Silent Witness,Richard North Patterson,An intense courtroom drama probing the darkest recesses of love and friendship.,Relationships and Family Dynamics,Romance & Relationships
"Nighttime Is My Time (Clark, Mary Higgins)",Mary Higgins Clark,"The undisputed ""Queen of Suspense"" delivers a chilling new thriller, set during the 20th high school reunion of a ""tragedy-ridden"" class, as a murderer sets out on a mission of vengeance against the women who once humiliated him.",Murder Mystery,Crime & Detective Fiction
Angels &amp; Demons,Dan Brown,A novel about a symbologist who discovers the existence of an ancient vendetta against the Catholic Church.,Epic Fantasy,Fantasy Literature
Bridget Jones's Diary,Helen Fielding,"Bridget Jones's Diary was first published in 1996 and applauded by critics from Salman Rushdie to Jilly Cooper. A number one best-seller, Helen Fielding's book has sold over fifteen million copies worldwide and has been turned into an Academy Award-nominated film starring Renee Zellweger, Colin Firth and Hugh Grant. Bridget Jones's Diary is followed by Bridget Jones: The Edge of Reason and Bridget Jones: Mad About the Boy. Bridget Jones is everyone's favourite spinster. In Bridget Jones's Diary she documents her struggles through the social minefield of her 30s and tries to weigh up the eternal question: Daniel Cleaver of Mark Darcy? She is supported through the whole process by four indispensable friends, Shazzer, Jude, Tom and a bottle of chardonnay. A dazzling urban satire of modern relationships? An ironic, tragic insight into the demise of the nuclear family? Or the confused ramblings of a pissed thirty-something?",Historical Time-Travel Romance,Romance & Relationships
